spm no,sex,location,latitude,longitude,species,dominant phenotype,DRy/d (era),Sd/sd (era),yspot(era),N (mel),B (mel),DR (mel),yspot(mel)
<a href=070.jpg>070</a>,m,Galion,04.46'954,052.24'689,melpomene,melpomene,,,,NN/--,B/-,d/d,+
<a href=071.jpg>071</a>,m,Galion,04.46'954,052.24'689,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=072.jpg>072</a>,f,7km South of Roura,04.40'720,052.18'334,erato,erato,DRy/d,Sd/sd,++,,,,
<a href=073.jpg>073</a>,m,7km South of Roura,04.40'720,052.18'334,erato,erato,DRy/d,sd/sd,+
<a href=074.jpg>074</a>,f,7km South of Roura,04.40'720,052.18'334,^demeter,bouqueti,,,
<a href=075.jpg>075</a>,m,7km South of Roura,04.40'720,052.18'334,elevatus,,,,
<a href=076.jpg>076</a>,m,7km South of Roura,04.40'720,052.18'334,erato,hydara,d/d,Sd/sd,-
<a href=077.jpg>077</a>,m,Nancibo,04.41'368,052.22'480,erato,erato,DRy/DRy,Sd/Sd,+
<a href=078.jpg>078</a>,m,Nancibo,04.41'368,052.22'480,erato,erato,DRy/DRy,Sd/Sd,+
<a href=079.jpg>079</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,+
<a href=080.jpg>080</a>,f,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,++
<a href=081.jpg>081</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,+
<a href=082.jpg>082</a>,f,7km South of Roura,04.40'720,052.18'334,erato,erato,DRy/DRy,Sd/Sd,++
<a href=083.jpg>083</a>,m,7km South of Roura,04.40'720,052.18'334,erato,hydara,DRy/d,Sd/sd,++
<a href=084.jpg>084</a>,f,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/d,Sd/Sd,+
<a href=085.jpg>085</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=086.jpg>086</a>,m,Camp Caiman,04.34'138,052.13'189,^?demeter,bouqueti,,,
<a href=087.jpg>087</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,+
<a href=088.jpg>088</a>,f,Camp Caiman,04.34'138,052.13'189,^demeter,bouqueti,,,
<a href=089.jpg>089</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=090.jpg>090</a>,f,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,+
<a href=091.jpg>091</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=092.jpg>092</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=093.jpg>093</a>,f,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=094.jpg>094</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=095.jpg>095</a>,m,Camp Caiman,04.34'138,052.13'189,^demeter,bouqueti,,,
<a href=096.jpg>096</a>,m,Camp Caiman,04.34'138,052.13'189,^?demeter,bouqueti,,,
<a href=097.jpg>097</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,+
<a href=098.jpg>098</a>,f?,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=099.jpg>099</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
